Y:\Meghan's Experiments\AMBVAR\b_tap.emrg																															
ExperimentName	Subject	Session	Clock.Information	Clock.StartTimeOfDay	Clock.SystemTimeDrift	Clock.SystemTimeDriftWarning	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	SessionTimeUtc	Block	BlockA	BlockA.Cycle	BlockA.Sample	correct	Procedure	Running	SEEaWORD.ACC	SEEaWORD.CRESP	SEEaWORD.DurationError	SEEaWORD.OnsetDelay	SEEaWORD.OnsetTime	SEEaWORD.RESP	SEEaWORD.RT	SEEaWORD.RTTime	sound	tap_cas	type	word
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	11	20	1	11	5	BlockAProc	BlockA	0	5	0	1	99603		0	0	budded.wav	tap	control	destiny
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	12	42	1	12	5	BlockAProc	BlockA	1	5	-999999	1	104786	5	805	105591	offer.wav		filler	cheer
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	13	47	1	13	5	BlockAProc	BlockA	1	5	-999999	1	107786	5	2782	110568	helping.wav		filler	sustain
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	14	37	1	14	5	BlockAProc	BlockA	1	5	-999999	1	112753	5	458	113211	pillar.wav		filler	town
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	15	16	1	15	5	BlockAProc	BlockA	1	5	-999999	1	115403	5	416	115819	wedding.wav	tap	d-related	ring
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	16	59	1	16	1	BlockAProc	BlockA	1	1	-999999	1	118003	1	747	118750	slither.wav		filler	eleption
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	17	93	1	17	1	BlockAProc	BlockA	1	1	-999999	1	120952	1	618	121570	england.wav		filler	sopa
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	18	82	1	18	1	BlockAProc	BlockA	1	1	-999999	1	123769	1	531	124300	dairy.wav		filler	sparty
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	19	94	1	19	1	BlockAProc	BlockA	1	1	-999999	1	126502	1	572	127074	igloo.wav		filler	pendil
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	20	30	1	20	5	BlockAProc	BlockA	1	5	-999999	1	129269	5	879	130148	muggle.wav		filler	steal
